task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
57	f3/4eef7e	3630059	pipeline:assign_features_with_stringtie:stringtie (46)	COMPLETED	0	2025-08-06 12:36:45.937	1.3s	566ms	6.5%	4 MB	37.2 MB	1.4 MB	49.3 KB
66	42/89e50f	3630244	pipeline:assign_features_with_stringtie:stringtie (55)	COMPLETED	0	2025-08-06 12:36:47.274	5.1s	4.5s	0.9%	4 MB	37.2 MB	1.4 MB	49.3 KB
65	e5/03f486	3630670	pipeline:assign_features_with_stringtie:stringtie (54)	COMPLETED	0	2025-08-06 12:36:52.371	825ms	216ms	11.2%	2.7 MB	3.8 MB	1.4 MB	49.3 KB
63	40/50034d	3630960	pipeline:assign_features_with_stringtie:stringtie (52)	COMPLETED	0	2025-08-06 12:36:53.203	914ms	113ms	18.8%	2.7 MB	3.8 MB	1.4 MB	49.3 KB
61	3c/54dbcd	3631173	pipeline:assign_features_with_stringtie:stringtie (50)	COMPLETED	0	2025-08-06 12:36:54.126	653ms	125ms	17.2%	2.7 MB	3.8 MB	1.4 MB	49.4 KB
60	51/b504dc	3631379	pipeline:assign_features_with_stringtie:stringtie (49)	COMPLETED	0	2025-08-06 12:36:54.785	668ms	120ms	24.3%	2.7 MB	3.8 MB	1.4 MB	49.4 KB
68	b8/59870d	3631588	pipeline:assign_features_with_stringtie:stringtie (57)	COMPLETED	0	2025-08-06 12:36:55.458	820ms	119ms	17.5%	2.7 MB	3.8 MB	1.4 MB	49.4 KB
75	a9/0ef894	3631898	pipeline:assign_features_with_stringtie:stringtie (64)	COMPLETED	0	2025-08-06 12:36:56.283	952ms	431ms	6.3%	4 MB	37.2 MB	1.4 MB	49.3 KB
71	34/fd3885	3632109	pipeline:assign_features_with_stringtie:stringtie (60)	COMPLETED	0	2025-08-06 12:36:57.242	799ms	116ms	18.5%	2.7 MB	3.8 MB	1.4 MB	49.3 KB
76	7d/21be6e	3632318	pipeline:assign_features_with_stringtie:stringtie (65)	COMPLETED	0	2025-08-06 12:36:58.048	795ms	136ms	16.1%	2.7 MB	3.8 MB	1.9 MB	55.4 KB
77	97/4466fe	3632630	pipeline:assign_features_with_stringtie:stringtie (66)	COMPLETED	0	2025-08-06 12:36:58.871	675ms	122ms	23.5%	2.7 MB	3.8 MB	1.4 MB	49.3 KB
69	5a/9fbdb8	3632838	pipeline:assign_features_with_stringtie:stringtie (58)	COMPLETED	0	2025-08-06 12:36:59.555	659ms	111ms	18.2%	2.7 MB	3.8 MB	1.4 MB	49.4 KB
74	da/c5a91f	3633045	pipeline:assign_features_with_stringtie:stringtie (63)	COMPLETED	0	2025-08-06 12:37:00.221	651ms	133ms	22.2%	2.7 MB	3.8 MB	1.4 MB	49.3 KB
73	bd/04402a	3633255	pipeline:assign_features_with_stringtie:stringtie (62)	COMPLETED	0	2025-08-06 12:37:00.879	669ms	106ms	19.0%	2.7 MB	3.8 MB	1.4 MB	49.3 KB
72	da/f52666	3633464	pipeline:assign_features_with_stringtie:stringtie (61)	COMPLETED	0	2025-08-06 12:37:01.554	654ms	142ms	25.9%	2.7 MB	3.8 MB	1.4 MB	49.3 KB
80	dc/0e1258	3633676	pipeline:assign_features_with_stringtie:stringtie (69)	COMPLETED	0	2025-08-06 12:37:02.214	645ms	114ms	18.4%	2.7 MB	3.8 MB	1.4 MB	49.3 KB
