task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
818	65/4f50fd	4085012	pipeline:assign_features_with_stringtie:assign_features (31)	COMPLETED	0	2025-08-06 13:23:55.192	4.1s	3.5s	69.5%	112.7 MB	1.9 GB	16.1 MB	1.5 KB
484	66/c184e2	4086824	pipeline:assign_features_with_stringtie:align_to_transcriptome (93)	COMPLETED	0	2025-08-06 13:23:58.449	852ms	264ms	9.1%	2.7 MB	3.8 MB	130.6 KB	7 KB
485	bf/b22a5c	4087184	pipeline:assign_features_with_stringtie:align_to_transcriptome (94)	COMPLETED	0	2025-08-06 13:23:59.306	815ms	149ms	29.7%	2.7 MB	3.8 MB	326.3 KB	178.5 KB
819	e2/33499d	4085762	pipeline:assign_features_with_stringtie:assign_features (32)	COMPLETED	0	2025-08-06 13:23:56.714	4s	3.4s	64.0%	107.4 MB	1.9 GB	15.7 MB	1.4 KB
486	10/5cef9b	4087747	pipeline:assign_features_with_stringtie:align_to_transcriptome (95)	COMPLETED	0	2025-08-06 13:24:00.128	871ms	248ms	6.6%	8.6 MB	2.5 GB	124.1 KB	1.5 KB
487	04/4c045b	4088093	pipeline:assign_features_with_stringtie:align_to_transcriptome (96)	COMPLETED	0	2025-08-06 13:24:01.004	817ms	181ms	14.0%	2.7 MB	3.8 MB	136.5 KB	9.9 KB
821	3b/501201	4086555	pipeline:assign_features_with_stringtie:assign_features (33)	COMPLETED	0	2025-08-06 13:23:58.161	3.8s	3.2s	84.6%	123.1 MB	1.9 GB	16.3 MB	4.8 KB
488	7a/edd02a	4088547	pipeline:assign_features_with_stringtie:align_to_transcriptome (97)	COMPLETED	0	2025-08-06 13:24:01.827	671ms	115ms	17.8%	2.7 MB	3.8 MB	134.6 KB	8.4 KB
489	7e/cb84d2	4089055	pipeline:assign_features_with_stringtie:align_to_transcriptome (98)	COMPLETED	0	2025-08-06 13:24:02.506	864ms	83ms	31.0%	2.7 MB	3.8 MB	124.1 KB	1.5 KB
490	b9/26bafe	4089391	pipeline:assign_features_with_stringtie:align_to_transcriptome (99)	COMPLETED	0	2025-08-06 13:24:03.489	786ms	160ms	9.9%	11 MB	2.5 GB	124.7 KB	1.9 KB
823	ec/656704	4087914	pipeline:assign_features_with_stringtie:assign_features (34)	COMPLETED	0	2025-08-06 13:24:00.738	4s	3.5s	81.2%	122.5 MB	1.9 GB	16 MB	3.8 KB
491	87/167bec	4089758	pipeline:assign_features_with_stringtie:align_to_transcriptome (100)	COMPLETED	0	2025-08-06 13:24:04.281	854ms	106ms	12.8%	0	0	124.1 KB	1.5 KB
824	db/8620bf	4088617	pipeline:assign_features_with_stringtie:assign_features (35)	COMPLETED	0	2025-08-06 13:24:01.980	4.1s	3.5s	76.8%	121.7 MB	1.9 GB	17.6 MB	26.3 KB
492	e1/034482	4090227	pipeline:assign_features_with_stringtie:align_to_transcriptome (101)	COMPLETED	0	2025-08-06 13:24:05.140	1s	117ms	23.5%	2.7 MB	3.8 MB	124.1 KB	1.5 KB
822	ca/a4cd2d	4087185	pipeline:process_bams:create_matrix (31)	COMPLETED	0	2025-08-06 13:23:59.311	6.9s	6.3s	71.9%	209.7 MB	2.1 GB	30.9 MB	7.5 KB
