ImageNumber,ObjectNumber,FileName_Brightfield,FileName_Fluorescence,PathName_Brightfield,PathName_Fluorescence,AreaShape_Area,AreaShape_BoundingBoxArea,AreaShape_BoundingBoxMaximum_X,AreaShape_BoundingBoxMaximum_Y,AreaShape_BoundingBoxMinimum_X,AreaShape_BoundingBoxMinimum_Y,AreaShape_Center_X,AreaShape_Center_Y,AreaShape_Compactness,AreaShape_ConvexArea,AreaShape_Eccentricity,AreaShape_EquivalentDiameter,AreaShape_EulerNumber,AreaShape_Extent,AreaShape_FormFactor,AreaShape_MajorAxisLength,AreaShape_MaxFeretDiameter,AreaShape_MaximumRadius,AreaShape_MeanRadius,AreaShape_MedianRadius,AreaShape_MinFeretDiameter,AreaShape_MinorAxisLength,AreaShape_Orientation,AreaShape_Perimeter,AreaShape_Solidity,Intensity_IntegratedIntensityEdge_Fluorescence,Intensity_IntegratedIntensity_Fluorescence,Intensity_LowerQuartileIntensity_Fluorescence,Intensity_MADIntensity_Fluorescence,Intensity_MassDisplacement_Fluorescence,Intensity_MaxIntensityEdge_Fluorescence,Intensity_MaxIntensity_Fluorescence,Intensity_MeanIntensityEdge_Fluorescence,Intensity_MeanIntensity_Fluorescence,Intensity_MedianIntensity_Fluorescence,Intensity_MinIntensityEdge_Fluorescence,Intensity_MinIntensity_Fluorescence,Intensity_StdIntensityEdge_Fluorescence,Intensity_StdIntensity_Fluorescence,Intensity_UpperQuartileIntensity_Fluorescence,Location_CenterMassIntensity_X_Fluorescence,Location_CenterMassIntensity_Y_Fluorescence,Location_CenterMassIntensity_Z_Fluorescence,Location_Center_X,Location_Center_Y,Location_MaxIntensity_X_Fluorescence,Location_MaxIntensity_Y_Fluorescence,Location_MaxIntensity_Z_Fluorescence,Number_Object_Number,Parent_WholeSphere
1,1,EF5Day11-1_EF_450ms_CA9_1600ms_Gamma_1_Sphere1_1-Image Export-84_c4.jpg,EF5Day11-1_EF_450ms_CA9_1600ms_Gamma_1_Sphere1_1-Image Export-84_c1.jpg,C:\Overflow\EF5 Consistent staining,C:\Overflow\EF5 Consistent staining,2211136,3254940,2520,1901,594,211,1599.4508605531275,1057.5823228421953,5.903758931754803,2378843,0.6638617782591553,1677.8873007408838,0,0.6793169766570198,0.16938360992710202,1997.810497319578,1987.6106258520556,504.21027359624475,165.23970697610557,150.90394295710104,1483.8718146456308,1494.073154962943,-59.69595030825408,12807.871672903831,0.929500601763126,217.7115313578397,95959.09721672791,0.028620392084121704,0.008416470140218735,37.73774074447083,0.1944490224123001,0.6315752863883972,0.019691708697344403,0.04339809817972658,0.03423137217760086,0.002805490279570222,0.002805490279570222,0.021679858253072105,0.035888173880800234,0.045736078172922134,1635.1118721238895,1069.9285502111884,0.0,1599.4508605531275,1057.5823228421953,1689.0,1148.0,0.0,1,2
2,1,EF5Day11-1_EF_450ms_CA9_1600ms_Gamma_1_Sphere1_2-Image Export-85_c4.jpg,EF5Day11-1_EF_450ms_CA9_1600ms_Gamma_1_Sphere1_2-Image Export-85_c1.jpg,C:\Overflow\EF5 Consistent staining,C:\Overflow\EF5 Consistent staining,1797811,2512940,2309,1906,753,291,1526.8748934120438,1106.5113479670556,3.327106559662255,1869512,0.6414962943656459,1512.958710328827,1,0.7154213789425932,0.30056145845281046,1730.5091592646697,1784.1830063084897,645.3681120105022,224.37622103214778,196.95684806576287,1352.5955910543898,1327.5187999004684,-40.13453484315176,8669.824453303358,0.9616472106089717,96.80545717803761,62443.18403673987,0.025532158091664314,0.005893724039196968,45.767634230137375,0.05162980407476425,0.2404678463935852,0.01292807921715246,0.034732896859981315,0.03423137217760086,0.002805490279570222,0.002805490279570222,0.010751567932371421,0.014102322287927455,0.039559606462717056,1561.091949368879,1076.1161275422842,0.0,1526.8748934120438,1106.5113479670556,1501.0,1120.0,0.0,1,1
3,1,EF5Day11-1_EF_450ms_CA9_1600ms_Gamma_1_Sphere2_1-Image Export-86_c4.jpg,EF5Day11-1_EF_450ms_CA9_1600ms_Gamma_1_Sphere2_1-Image Export-86_c1.jpg,C:\Overflow\EF5 Consistent staining,C:\Overflow\EF5 Consistent staining,1135803,1976760,2232,1797,787,429,1578.5033672212523,1120.0266604331914,8.9824037333911,1403432,0.4973782704555663,1202.5594765452693,1,0.5745780974928671,0.11132877453310294,1380.671360096929,1444.1000657849165,416.63533215511137,130.42331673687227,108.93117092916977,1288.4333926872969,1197.7790412869701,-44.600347720038364,11322.770988371696,0.8093039064236813,106.42671822593547,33032.711532976246,0.023560000583529472,0.0056109800934791565,3.539644058208494,0.05162980407476425,0.08978274464607239,0.010862085958964632,0.029083134604307476,0.028620392084121704,0.002805490279570222,0.002805490279570222,0.007650390796901881,0.009244666617051478,0.03423137217760086,1575.4518668018395,1118.232942158452,0.0,1578.5033672212523,1120.0266604331914,1676.0,747.0,0.0,1,1
4,1,EF5Day11-1_EF_450ms_CA9_1600ms_Gamma_1_Sphere2_2-Image Export-87_c4.jpg,EF5Day11-1_EF_450ms_CA9_1600ms_Gamma_1_Sphere2_2-Image Export-87_c1.jpg,C:\Overflow\EF5 Consistent staining,C:\Overflow\EF5 Consistent staining,1695897,2440368,2367,1880,753,368,1549.2526727743489,1088.795946334005,3.7920474753782565,1770441,0.6043108847245722,1469.449939330268,1,0.6949349442379182,0.2637097785544602,1652.3508838898147,1678.523160400237,608.2663890106045,217.4539835026584,190.541334098405,1310.8419466210644,1316.5082772989444,-57.570408104730326,8989.62448919711,0.9578952362716407,73.58653154992498,39674.32706333324,0.018231762573122978,0.003921570256352425,20.92002390797022,0.04965764656662941,0.1459074467420578,0.009477914934302549,0.023394302285653694,0.023560000583529472,0.00194941193331033,0.0,0.007576192718812734,0.008284107680309783,0.025532158091664314,1563.485375608304,1073.4637067601407,0.0,1549.2526727743489,1088.795946334005,1375.0,932.0,0.0,1,4
5,1,EF5Day11-1_EF_450ms_CA9_1600ms_Gamma_1_Sphere3_1-Image Export-88_c4.jpg,EF5Day11-1_EF_450ms_CA9_1600ms_Gamma_1_Sphere3_1-Image Export-88_c1.jpg,C:\Overflow\EF5 Consistent staining,C:\Overflow\EF5 Consistent staining,1951152,2835360,2469,1857,679,273,1604.2381639154714,1085.6314300474796,2.9165249657237577,2011623,0.6398849359023996,1576.1611225344643,1,0.6881496529541222,0.34287380075686835,1804.519525900562,1812.3490281951763,646.4131805586889,231.2637866037265,204.43580899636933,1359.1025358365068,1386.7204443403784,-65.19175010065376,8456.357461892349,0.9699391983487959,75.65966783964541,61482.89975733019,0.023560000583529472,0.0056109800934791565,22.734794035979736,0.05695803835988045,0.26880547404289246,0.010447344357863216,0.03151107640887547,0.028620392084121704,0.00194941193331033,0.00194941193331033,0.008853402500291901,0.01434759176726769,0.03423137217760086,1620.256431830496,1069.4980499657697,0.0,1604.2381639154714,1085.6314300474796,1746.0,1256.0,0.0,1,2
6,1,EF5Day11-1_EF_450ms_CA9_1600ms_Gamma_1_Sphere3_2-Image Export-89_c4.jpg,EF5Day11-1_EF_450ms_CA9_1600ms_Gamma_1_Sphere3_2-Image Export-89_c1.jpg,C:\Overflow\EF5 Consistent staining,C:\Overflow\EF5 Consistent staining,1442233,1978172,2272,1787,788,454,1542.6931085337806,1113.5257472266965,4.205544095378031,1551800,0.5608430544015239,1355.1044566091678,1,0.7290736093726936,0.237781361298534,1500.969910160206,1572.87157772019,551.6964745219966,181.63266033951336,156.85024705112835,1263.6028293356378,1242.6862186699243,-67.86780001007551,8730.391949777757,0.9293936074236371,69.82097940100357,33984.92825944116,0.017666272819042206,0.005060391500592232,55.128594018163085,0.03815293684601784,0.11726431548595428,0.00923191582718545,0.023564103899606486,0.023560000583529472,0.0,0.0,0.006282901466372425,0.007728825658238685,0.028620392084121704,1591.0050116664272,1086.9716158321053,0.0,1542.6931085337806,1113.5257472266965,1374.0,1207.0,0.0,1,2
7,1,EF5Day11-1_EF_450ms_CA9_1600ms_Gamma_1_Sphere4_1-Image Export-90_c4.jpg,EF5Day11-1_EF_450ms_CA9_1600ms_Gamma_1_Sphere4_1-Image Export-90_c1.jpg,C:\Overflow\EF5 Consistent staining,C:\Overflow\EF5 Consistent staining,1719639,2438042,2313,1839,736,293,1520.0499645565144,1079.228358975343,8.113318522303688,1878650,0.5314231735412925,1479.700097137535,1,0.7053360852684244,0.12325412804279512,1633.8286231766158,1737.5894221593317,575.8558847489535,193.37607853206043,166.35504200354134,1426.58390274638,1384.0268352776948,55.568768465747404,13241.062581762842,0.9153589013387273,580.2565429632086,101201.86410157685,0.028620392084121704,0.010671371594071388,117.12516518941482,0.464653342962265,0.7314866185188293,0.050435162360991624,0.05885064487463756,0.03423137217760086,0.003638823749497533,0.002805490279570222,0.07502948084852913,0.05990282387108871,0.06228627637028694,1454.9378072502423,981.8696855478,0.0,1520.0499645565144,1079.228358975343,1694.0,1190.0,0.0,1,2
8,1,EF5Day11-1_EF_450ms_CA9_1600ms_Gamma_1_Sphere4_2-Image Export-91_c4.jpg,EF5Day11-1_EF_450ms_CA9_1600ms_Gamma_1_Sphere4_2-Image Export-91_c1.jpg,C:\Overflow\EF5 Consistent staining,C:\Overflow\EF5 Consistent staining,1807563,2643237,2439,1834,708,307,1523.5249183569258,1098.9506988138173,13.056085121996597,2015526,0.5429731702414881,1517.0565880019522,1,0.6838444679761974,0.07659263788922628,1695.2864997167349,1736.4046187452968,499.795958367012,175.90799537279173,157.15597347857954,1502.8753839498274,1423.6169127296394,85.99419139518311,17220.9910063367,0.8968194902968257,560.7001249589957,98200.14627252822,0.03114313818514347,0.008699212223291397,70.76590586954406,0.2295137345790863,0.7340015172958374,0.03753012884598365,0.054327371312938036,0.0373196043074131,0.003638823749497533,0.003638823749497533,0.03191242230933079,0.0588876474699224,0.04965764656662941,1577.8903351804174,1053.6493203894781,0.0,1523.5249183569258,1098.9506988138173,1575.0,957.0,0.0,1,1
9,1,EF5Day11-4_EF_450ms_CA9_1600ms_Gamma_1_Sphere1_1-Image Export-99_c4.jpg,EF5Day11-4_EF_450ms_CA9_1600ms_Gamma_1_Sphere1_1-Image Export-99_c1.jpg,C:\Overflow\EF5 Consistent staining,C:\Overflow\EF5 Consistent staining,1798792,2478978,2394,1825,828,242,1573.1693464280472,1008.3360605339583,3.885379899040026,1895112,0.292459105848018,1513.371437272837,1,0.7256183798323341,0.25737508969124834,1551.1502585596995,1607.0003111387377,679.4976085314797,224.05802601249965,193.83756085960223,1498.1786114596532,1483.3309140944089,27.213496263233107,9371.565614694062,0.9491745078918818,141.49806789727882,87898.20540257264,0.0373196043074131,0.008416473865509033,20.0653208711256,0.08388901501893997,0.4079325497150421,0.01733195344160691,0.048865130266630405,0.045736078172922134,0.005610980559140444,0.005610980559140444,0.009292646778817193,0.021124192455396474,0.05386980623006821,1553.128386380661,1009.3245047864553,0.0,1573.1693464280472,1008.3360605339583,1420.0,1122.0,0.0,1,1
10,1,EF5Day11-4_EF_450ms_CA9_1600ms_Gamma_1_Sphere2-Image Export-100_c4.jpg,EF5Day11-4_EF_450ms_CA9_1600ms_Gamma_1_Sphere2-Image Export-100_c1.jpg,C:\Overflow\EF5 Consistent staining,C:\Overflow\EF5 Consistent staining,1160848,1764492,2154,1646,805,338,1516.1950754965335,1044.8882489352611,6.999101949015486,1331263,0.49160049581643017,1215.7456884672567,1,0.6578936033713952,0.14287547277985613,1349.011458538238,1376.4861059959885,477.88073826008093,151.87979746549152,128.96898852049665,1285.0540134091643,1174.7473047658273,-84.25354157733057,10104.475390367192,0.8719899824452418,111.2298952927813,40452.18607303081,0.028620392084121704,0.0056109800934791565,27.80241581827705,0.05162980407476425,0.07518979907035828,0.012690233347721768,0.03484709976933312,0.03423137217760086,0.005610980559140444,0.005610980559140444,0.0061385342431896275,0.010113508522097168,0.04012509435415268,1543.7941204857345,1041.531607605533,0.0,1516.1950754965335,1044.8882489352611,1831.0,1574.0,0.0,1,1
