Channel_Brightfield,Channel_Fluorescence,Count_SpheroidMask,ExecutionTime_01Images,ExecutionTime_02Metadata,ExecutionTime_03NamesAndTypes,ExecutionTime_04Groups,ExecutionTime_05RescaleIntensity,ExecutionTime_06EnhanceEdges,ExecutionTime_07IdentifyPrimaryObjects,ExecutionTime_08MeasureObjectIntensityDistribution,FileName_Brightfield,FileName_Fluorescence,Frame_Brightfield,Frame_Fluorescence,Group_Index,Group_Length,Group_Number,Height_Brightfield,Height_Fluorescence,ImageNumber,ImageSet_ImageSet,MD5Digest_Brightfield,MD5Digest_Fluorescence,Metadata_Frame,Metadata_Series,ModuleError_01Images,ModuleError_02Metadata,ModuleError_03NamesAndTypes,ModuleError_04Groups,ModuleError_05RescaleIntensity,ModuleError_06EnhanceEdges,ModuleError_07IdentifyPrimaryObjects,ModuleError_08MeasureObjectIntensityDistribution,PathName_Brightfield,PathName_Fluorescence,ProcessingStatus,Scaling_Brightfield,Scaling_Fluorescence,Series_Brightfield,Series_Fluorescence,Threshold_FinalThreshold_SpheroidMask,Threshold_OrigThreshold_SpheroidMask,Threshold_SumOfEntropies_SpheroidMask,Threshold_WeightedVariance_SpheroidMask,URL_Brightfield,URL_Fluorescence,Width_Brightfield,Width_Fluorescence
-1,-1,1.0,0.0,0.0,1.875,0.0,1.640625,0.703125,17.140625,25.234375,VehicleDay13-7_EF_450ms_CA9_1600ms_Gamma_1_Sphere1_1-Image Export-153_c4.jpg,VehicleDay13-7_EF_450ms_CA9_1600ms_Gamma_1_Sphere1_1-Image Export-153_c1.jpg,0,0,180,193,1,2208,2208,180,b'eLu1ms/psxlt/NA0YQKLQWLKAUMsmdvUeLRJM8DBb0Kl4AdlBzsA+ckTvw==',4b181538966e8657cbd7064c2b556821,ee485e255271d344bbc344e088d65e4b,0,0,0,0,0,0,0,0,0,0,C:\Overflow\EF5 Consistent staining,C:\Overflow\EF5 Consistent staining,Done,255,255,0,0,0.032665155827999115,0.032665156,-12.773349501731477,1.4534239844939578,file:///C:/Overflow/EF5%20Consistent%20staining/VehicleDay13-7_EF_450ms_CA9_1600ms_Gamma_1_Sphere1_1-Image%20Export-153_c4.jpg,file:///C:/Overflow/EF5%20Consistent%20staining/VehicleDay13-7_EF_450ms_CA9_1600ms_Gamma_1_Sphere1_1-Image%20Export-153_c1.jpg,3120,3120
-1,-1,1.0,0.0,0.0,2.125,0.0,1.609375,0.625,16.015625,15.9375,VehicleDay13-7_EF_450ms_CA9_1600ms_Gamma_1_Sphere2_1-Image Export-154_c4.jpg,VehicleDay13-7_EF_450ms_CA9_1600ms_Gamma_1_Sphere2_1-Image Export-154_c1.jpg,0,0,181,193,1,2208,2208,181,b'eLu1ms/psxlt/NA0YQKLQXLLAVOT0SbNAAe/CZWCH5Qd7AD+MRPD',9613a019a0e73853bd7709273d88eef7,4f7ce8065ce4ad4d0dfacaebc87330af,0,0,0,0,0,0,0,0,0,0,C:\Overflow\EF5 Consistent staining,C:\Overflow\EF5 Consistent staining,Done,255,255,0,0,0.025315698236227036,0.025315698,-12.78162030617031,1.4599022827585324,file:///C:/Overflow/EF5%20Consistent%20staining/VehicleDay13-7_EF_450ms_CA9_1600ms_Gamma_1_Sphere2_1-Image%20Export-154_c4.jpg,file:///C:/Overflow/EF5%20Consistent%20staining/VehicleDay13-7_EF_450ms_CA9_1600ms_Gamma_1_Sphere2_1-Image%20Export-154_c1.jpg,3120,3120
-1,-1,1.0,0.0,0.0,1.96875,0.0,1.828125,0.6875,17.375,29.359375,VehicleDay13-7_EF_450ms_CA9_1600ms_Gamma_1_Sphere2_2-Image Export-155_c4.jpg,VehicleDay13-7_EF_450ms_CA9_1600ms_Gamma_1_Sphere2_2-Image Export-155_c1.jpg,0,0,182,193,1,2208,2208,182,b'eLu1ms/psxlt/NA0YQKLQeLKAcxi0NR0tEkzwMFvQqXgB2UHOwACpBPH',6aaa07b16c9a4be6085eb80ec842db57,5fed6ad3b8171dbdc41a607b6290c8a7,0,0,0,0,0,0,0,0,0,0,C:\Overflow\EF5 Consistent staining,C:\Overflow\EF5 Consistent staining,Done,255,255,0,0,0.027235954999923706,0.027235955,-12.867449278022232,1.251425898378121,file:///C:/Overflow/EF5%20Consistent%20staining/VehicleDay13-7_EF_450ms_CA9_1600ms_Gamma_1_Sphere2_2-Image%20Export-155_c4.jpg,file:///C:/Overflow/EF5%20Consistent%20staining/VehicleDay13-7_EF_450ms_CA9_1600ms_Gamma_1_Sphere2_2-Image%20Export-155_c1.jpg,3120,3120
-1,-1,1.0,0.0,0.0,2.234375,0.0,1.75,0.578125,15.875,19.78125,VehicleDay13-7_EF_450ms_CA9_1600ms_Gamma_1_Sphere3_1-Image Export-156_c4.jpg,VehicleDay13-7_EF_450ms_CA9_1600ms_Gamma_1_Sphere3_1-Image Export-156_c1.jpg,0,0,183,193,1,2208,2208,183,b'eLu1ms/psxlt/NA0YQKLQWLKAWMsmdvUbLRJM8DBb0Kl4AdlBzsABMcTyQ==',5e45a1bb9a1718adec24cff489c292d2,b505f040c8511b0dea99731b3a5ce23a,0,0,0,0,0,0,0,0,0,0,C:\Overflow\EF5 Consistent staining,C:\Overflow\EF5 Consistent staining,Done,255,255,0,0,0.030094392597675323,0.030094393,-12.75395606941687,1.4288930315390318,file:///C:/Overflow/EF5%20Consistent%20staining/VehicleDay13-7_EF_450ms_CA9_1600ms_Gamma_1_Sphere3_1-Image%20Export-156_c4.jpg,file:///C:/Overflow/EF5%20Consistent%20staining/VehicleDay13-7_EF_450ms_CA9_1600ms_Gamma_1_Sphere3_1-Image%20Export-156_c1.jpg,3120,3120
-1,-1,1.0,0.0,0.0,2.125,0.0,1.78125,0.671875,17.0,27.28125,VehicleDay13-7_EF_450ms_CA9_1600ms_Gamma_1_Sphere3_2-Image Export-157_c4.jpg,VehicleDay13-7_EF_450ms_CA9_1600ms_Gamma_1_Sphere3_2-Image Export-157_c1.jpg,0,0,184,193,1,2208,2208,184,b'eLu1ms/psxlt/NA0YQKLQWLKAWMsxaCp+WiTZoCD34RKwQ/KDnYACSsTzQ==',0de9998778f67bd237f388d00aca1173,0c7d02f3753eaa3bc2e4b3150a0226af,0,0,0,0,0,0,0,0,0,0,C:\Overflow\EF5 Consistent staining,C:\Overflow\EF5 Consistent staining,Done,255,255,0,0,0.026292573660612106,0.026292574,-12.80023935999884,1.310053562470416,file:///C:/Overflow/EF5%20Consistent%20staining/VehicleDay13-7_EF_450ms_CA9_1600ms_Gamma_1_Sphere3_2-Image%20Export-157_c4.jpg,file:///C:/Overflow/EF5%20Consistent%20staining/VehicleDay13-7_EF_450ms_CA9_1600ms_Gamma_1_Sphere3_2-Image%20Export-157_c1.jpg,3120,3120
-1,-1,1.0,0.0,0.0,2.046875,0.0,1.984375,0.796875,17.90625,25.8125,VehicleDay13-7_EF_450ms_CA9_1600ms_Gamma_1_Sphere4_1-Image Export-158_c4.jpg,VehicleDay13-7_EF_450ms_CA9_1600ms_Gamma_1_Sphere4_1-Image Export-158_c1.jpg,0,0,185,193,1,2208,2208,185,b'eLu1ms/psxlt/NA0YQKLQWLKARMsmdvUYrRJM8DBb0Kl4AdlBzsAC04Tzw==',09f2ae9303a330bca7052ee2fad65d29,e25b473ddea56492923160ca1fde4222,0,0,0,0,0,0,0,0,0,0,C:\Overflow\EF5 Consistent staining,C:\Overflow\EF5 Consistent staining,Done,255,255,0,0,0.026375554502010345,0.026375555,-12.71801560781638,1.3055702732025605,file:///C:/Overflow/EF5%20Consistent%20staining/VehicleDay13-7_EF_450ms_CA9_1600ms_Gamma_1_Sphere4_1-Image%20Export-158_c4.jpg,file:///C:/Overflow/EF5%20Consistent%20staining/VehicleDay13-7_EF_450ms_CA9_1600ms_Gamma_1_Sphere4_1-Image%20Export-158_c1.jpg,3120,3120
-1,-1,1.0,0.0,0.0,1.8125,0.0,1.59375,0.625,17.359375,23.234375,VehicleDay13-7_EF_450ms_CA9_1600ms_Gamma_1_Sphere4_2-Image Export-01_c4.jpg,VehicleDay13-7_EF_450ms_CA9_1600ms_Gamma_1_Sphere4_2-Image Export-01_c1.jpg,0,0,186,193,1,2208,2208,186,b'eLu1ms/psxlt/NA0YQKLQWLKARPMYtDAcLRFM7Chb0Kl0AdlBjsAC9gTVw==',4285c1dbbb3f139c6c9a13b051055997,9bda68e9b61a2446692303867f05e696,0,0,0,0,0,0,0,0,0,0,C:\Overflow\EF5 Consistent staining,C:\Overflow\EF5 Consistent staining,Done,255,255,0,0,0.026981323957443237,0.026981324,-12.782832399610866,1.325836644734788,file:///C:/Overflow/EF5%20Consistent%20staining/VehicleDay13-7_EF_450ms_CA9_1600ms_Gamma_1_Sphere4_2-Image%20Export-01_c4.jpg,file:///C:/Overflow/EF5%20Consistent%20staining/VehicleDay13-7_EF_450ms_CA9_1600ms_Gamma_1_Sphere4_2-Image%20Export-01_c1.jpg,3120,3120
-1,-1,1.0,0.0,0.0,1.796875,0.0,1.90625,0.6875,16.953125,16.703125,VehicleDay7-2_EF_450ms_CA9_1600ms_Gamma_1_Sphere1-Image Export-139_c4.jpg,VehicleDay7-2_EF_450ms_CA9_1600ms_Gamma_1_Sphere1-Image Export-139_c1.jpg,0,0,187,193,1,2208,2208,187,b'eLu1ms/psxlt/NA0YZoD8y0RpSBGwjS2HG3PDGTYm1Ap7EEZwQ4A+RkSQw==',69ff66fc754b7da050149e67f5e93ee5,c33fde7fc17a5c86b1f7d96e5b58b2af,0,0,0,0,0,0,0,0,0,0,C:\Overflow\EF5 Consistent staining,C:\Overflow\EF5 Consistent staining,Done,255,255,0,0,0.01984969526529312,0.019849695,-12.71366174642332,1.1195284801117407,file:///C:/Overflow/EF5%20Consistent%20staining/VehicleDay7-2_EF_450ms_CA9_1600ms_Gamma_1_Sphere1-Image%20Export-139_c4.jpg,file:///C:/Overflow/EF5%20Consistent%20staining/VehicleDay7-2_EF_450ms_CA9_1600ms_Gamma_1_Sphere1-Image%20Export-139_c1.jpg,3120,3120
-1,-1,1.0,0.0,0.0,2.03125,0.0,1.640625,0.71875,16.484375,17.59375,VehicleDay7-2_EF_450ms_CA9_1600ms_Gamma_1_Sphere2_1-Image Export-140_c4.jpg,VehicleDay7-2_EF_450ms_CA9_1600ms_Gamma_1_Sphere2_1-Image Export-140_c1.jpg,0,0,188,193,1,2208,2208,188,b'eLu1ms/psxlt/NA0YZoD8y15xYCJwWiLZmBD34RKoQ/KDHYAF1ATVQ==',fbe8d38ddb8d6f51aa6b7eaa9c941385,adce017ac63a60da94d079fbde3c2f57,0,0,0,0,0,0,0,0,0,0,C:\Overflow\EF5 Consistent staining,C:\Overflow\EF5 Consistent staining,Done,255,255,0,0,0.02486126869916916,0.024861269,-12.77102803563456,1.53750286766403,file:///C:/Overflow/EF5%20Consistent%20staining/VehicleDay7-2_EF_450ms_CA9_1600ms_Gamma_1_Sphere2_1-Image%20Export-140_c4.jpg,file:///C:/Overflow/EF5%20Consistent%20staining/VehicleDay7-2_EF_450ms_CA9_1600ms_Gamma_1_Sphere2_1-Image%20Export-140_c1.jpg,3120,3120
-1,-1,1.0,0.0,0.0,2.09375,0.0,2.046875,0.828125,19.671875,13.984375,VehicleDay7-2_EF_450ms_CA9_1600ms_Gamma_1_Sphere2_2-Image Export-141_c4.jpg,VehicleDay7-2_EF_450ms_CA9_1600ms_Gamma_1_Sphere2_2-Image Export-141_c1.jpg,0,0,189,193,1,2208,2208,189,b'eLu1ms/psxlt/NA0YZoD8y0xxQBmKWhiONqiGdjQN6FS6IMygx0AG7ITWQ==',7b198e0d61733b0c021be7c3c05c312f,c35a68f1660d07b63172387a20b92fe1,0,0,0,0,0,0,0,0,0,0,C:\Overflow\EF5 Consistent staining,C:\Overflow\EF5 Consistent staining,Done,255,255,0,0,0.01297064870595932,0.012970649,-12.852599366998204,1.4870969896604846,file:///C:/Overflow/EF5%20Consistent%20staining/VehicleDay7-2_EF_450ms_CA9_1600ms_Gamma_1_Sphere2_2-Image%20Export-141_c4.jpg,file:///C:/Overflow/EF5%20Consistent%20staining/VehicleDay7-2_EF_450ms_CA9_1600ms_Gamma_1_Sphere2_2-Image%20Export-141_c1.jpg,3120,3120
