"Metric","Day","Treatment","estimate_vehicle","estimate_treatment","estimate_diff","conf.low","conf.high","statistic","p.value"
"FracAtD","Day 7","EF5",0.0722801738409091,0.0697878959495798,-0.00249227789132928,-0.00140468726147387,0.00638924304413242,1.30385570971817,0.201792017982021
"FracAtD","Day 9","EF5",0.0722801738409091,0.045784791118797,-0.0264953827221121,0.0153249221893704,0.0376658432548538,4.92023409802635,6.46274765237656e-05
"FracAtD","Day 11","EF5",0.0722801738409091,0.0571202405651786,-0.0151599332757305,0.00917682372548996,0.0211430428259711,5.08790305758163,5.3617691827879e-06
"FracAtD","Day 13","EF5",0.0722801738409091,0.0376892029385714,-0.0345909709023377,0.0265472509970446,0.0426346908076307,8.68861508182516,8.66522917642796e-11
"MeanFrac","Day 7","EF5",0.0274651837682668,0.0131591181186407,-0.0143060656496262,-0.0100099454746163,0.0386220767738686,1.19325040131743,0.240584177692795
"MeanFrac","Day 9","EF5",0.0274651837682668,-0.258279247511841,-0.285744431280108,0.161446876102142,0.410041986458073,4.81187832634129,0.000121457714163071
"MeanFrac","Day 11","EF5",0.0274651837682668,-0.13804129411096,-0.165506477879227,0.1137752184217,0.217237737336755,6.46348248321455,9.96256131405336e-08
"MeanFrac","Day 13","EF5",0.0274651837682668,-0.215534019201933,-0.242999202970199,0.183584392561989,0.30241401337841,8.29624476654263,7.40874961168078e-10
